timestamp,threat_type,source_ip,source_mac,details
2025-10-29 07:48:08.972815,DNS Spoofing,Unknown,Switched to 1.1.1.1,"IPs detected: [None, b'vscode-cdn.z01.azurefd.net.']"
2025-10-29 07:48:11.296224,DNS Spoofing,Unknown,Switched to 1.1.1.1,"IPs detected: [None, b'vscode-cdn.z01.azurefd.net.']"
2025-10-29 07:48:13.371364,DNS Spoofing,Unknown,Switched to 1.1.1.1,"IPs detected: [None, b'vscode-cdn.z01.azurefd.net.']"
2025-10-29 07:48:18.152289,DNS Spoofing,Unknown,Switched to 1.1.1.1,"IPs detected: [None, b'vscode-cdn.z01.azurefd.net.']"
2025-10-29 07:48:23.681751,DNS Spoofing,Unknown,Switched to 1.1.1.1,"IPs detected: [None, b'westus-0.in.ai.monitor.azure.com.']"
2025-10-29 07:48:25.721482,DNS Spoofing,Unknown,Switched to 1.1.1.1,"IPs detected: [None, b'westus-0.in.ai.monitor.azure.com.']"
2025-10-29 07:48:29.335938,DNS Spoofing,Unknown,Switched to 1.1.1.1,"IPs detected: [None, b'westus-0.in.ai.monitor.azure.com.']"
2025-10-29 07:48:32.942319,DNS Spoofing,Unknown,Switched to 1.1.1.1,"IPs detected: [None, b'westus-0.in.ai.monitor.azure.com.']"
2025-10-29 07:48:37.035796,DNS Spoofing,Unknown,Switched to 1.1.1.1,"IPs detected: [None, b'mobile.events.data.trafficmanager.net.']"
2025-10-29 07:49:04.245454,DNS Spoofing,Unknown,Switched to 1.1.1.1,"IPs detected: [None, b'mobile.events.data.trafficmanager.net.']"
2025-10-29 07:49:06.256986,DNS Spoofing,Unknown,Switched to 1.1.1.1,"IPs detected: [None, b'mobile.events.data.trafficmanager.net.']"
2025-10-29 07:49:08.392748,DNS Spoofing,Unknown,Switched to 1.1.1.1,"IPs detected: [None, b'mobile.events.data.trafficmanager.net.']"
2025-10-29 07:49:16.398125,DNS Spoofing,Unknown,Switched to 1.1.1.1,"IPs detected: [None, b'copilot-proxy.githubusercontent.com.']"
